Supplier,Country,PHONE,ADDRESS,SUPPLIERCTCName,SUPPLIERCTCEMAIL
AUWIN GARMENTS COMPANY (HK) LIMITED,China,+86 20 8334 8898,"Unit B, 3/F Tower 5A, 8 Wui Cheun Rd, Kowloon",Christina,1010079913@qq.com
DCP / HIGH HOPE INT'L GROUP JIANGSU FOODSTUFFS IMP & EXP,China,+86 25 8376 6032,"91 Baixia Road, Nanjing 210006 c/o DCP Room 2513, Hejia Mansion, North Street 18#, Beitang District, Wuxi, Jiangsu 214041",Adela,adela@dcpchn.com
BEST FUTURE METAL & PLASTIC PRODUCT CO LIMITED,Hong Kong,,,,
CREATON ENTERPRISES LTD,Hong Kong,,,,
GOLDEN ALLIED LTD,China,+86 757 2550 2446,"No 15 Hengandong Rd, Sanhua District, Junan Town Shunde Area Foshan City, Guangdong 528329",Ali,goldenalliedlimited@outlook.com
EISHO CO LTD,China,,,,
FABRIEKNL,Netherlands,,,,
GOLD MINE GARMENTS CO LTD,Thailand,,,,
H & D MANUFACTURER GROUP LTD,China,+86 20 3112 0398,"Room 606, 6th Floor, Nanya Commercial Building, MO 581 Xingnan Avenue Panyu District, Guangzhou City 511442",Eric,eric@hdmgroup.com.cn
GUANGZHOU COLORFUL SMART CARD LIMITED,China,,,,
"HANGZHOU KIMHAIE TRADING CO.,LTD.",China,+86 571 8160 0326,"F7 Senhe Business Plaza B, 238 Hanghailu Rd, Jiang Gan Qu 33 310020",Luky,luky@kimhaie.com
"HAINING LONGSHINE PIGMENT CO., LTD",China,,,,
HIGH HOPE AGLORY LIMITED,China,+86 25 8469 1303,"91 Baixia Road, Nanjing 210001",Charles Wu,wch@aglory.com
HUHHOT LEDISI GARMENTS CO.LTD,China,+86 471 382 1800,"No 6 Rd Jin Hai Industrial Zone. Hui Min District Huhhot, Inner Mongolia",Sophia,ledisi@vip.163.com
HK WIDEWIN INDUSTRY LIMITED,China,,,,
HUANYU FASHION,China,,"Block A202 Fuyada BLD, Yinzhou District Ningbo",Eric,Eric@huanyu-fashion.com
INDUSTRIE CLOTHING,Australia,+61 2 95506550,"55 Railway Parade, Marrickville, NSW 2204",,
IMATEC DIGITAL CO LTD,China,,,,
"INNER MONGOLIA FUJIA INDUSTRY AND TRADE CO.,LTD.",China,,"Huashengst Shaerqin Zone, Huhot Economic and Tech Dev, Huhot",Rui Zhang,rui.zhang@fujiacashmere.com
JC INDUSTRIAL (HK)LIMITED,Hong Kong,,,,
